GaiaDR3Id,Gaia-RA,Gaia-DEC,Gaia-G,Gaia-BP,Gaia-RP,plx,plx-err,pmra,pmra-err,pmdec,pmdec-err,ellr,Flamesfield,SpecName,N-Spec,combSN,aveVel,vel-err,vel-var,aveFeH,feh-err,feh-var,z,mem,feh-rel
5027178204002565248,15.4587749665,-33.5265342909,19.9042,20.4839,19.3133,-0.0436,0.5859,-0.014,0.493,-0.347,0.317,0.4683,2018.asa.c11,AS5492,2,17.34,126.1,1.246,1.108,-1.94,0.193,0.168,0.983,m,0
5027171190318997888,15.4625509605,-33.7585616626,19.5918,19.961,19.0978,0.3547,0.3805,0.134,0.386,-0.47,0.246,0.3558,2018.asa.c11,AS5153,2,21.52,110.61,1.188,6.983,-2.38,0.188,0.404,2.360,m,0
5027176172481364224,15.4662875284,-33.6487388417,19.1078,19.4285,18.5751,-0.08,0.2916,0.247,0.29,-0.135,0.179,0.3811,2018.asa.c11,AS0353,1,26.97,79.98,0.87,0.0,-2.51,0.152,0.0,0.671,m,0
5027176172481354880,15.4691395342,-33.6523726399,17.8693,18.3723,17.2074,-0.0361,0.1277,0.02,0.102,-0.235,0.079,0.3817,2018.asa.c11,AS2090,3,72.29,112.35,0.263,11.178,-2.36,0.044,0.033,3.089,m,0
5027150127798729216,15.4750540384,-33.9863955952,19.6888,20.1945,19.0933,0.3924,0.3401,0.12,0.287,-0.125,0.23,0.5133,2006.gb109,scl147_09_,1,14.55,111.86,1.43,0.0,-1.46,0.21,0.0,1.427,m,0
5027150127798730368,15.4776532087,-33.9832089933,18.8267,19.3174,18.2105,0.2326,0.178,0.016,0.141,-0.101,0.121,0.5114,2006.gb109,scl143_09_,1,27.82,124.84,0.75,0.0,-1.98,0.114,0.0,2.497,m,0
5027150127798732800,15.4842926469,-33.9774703213,19.4943,20.0142,18.8774,0.1984,0.2735,-0.193,0.247,0.04,0.197,0.5092,2006.gb109,scl139_09_,1,13.5,137.53,1.48,0.0,-1.79,0.238,0.0,2.790,m,0
5027252313661862656,15.4868870763,-33.3227583042,18.4395,18.9394,17.7579,0.1081,0.19,0.178,0.124,-0.11,0.102,0.7161,2006.gb106,scl014_06_,1,28.0,119.21,0.7,0.0,-2.31,0.121,0.0,1.462,m,0
5027169717147142528,15.4897765311,-33.8166312884,19.5174,19.9825,18.9367,-0.2334,0.3168,-0.417,0.325,-0.273,0.221,0.3933,2017.sclout1,AT06595,1,20.04,113.13,1.13,0.0,-2.09,0.177,0.0,4.348,m,0
5027171366414617728,15.4907101603,-33.7141811749,18.3771,18.893,17.7078,0.0029,0.1574,0.047,0.136,0.05,0.102,0.3801,2018.asa.c11,AS2112,3,54.61,121.09,0.329,3.636,-1.97,0.048,0.073,4.632,m,0
5027173148824323840,15.4933626452,-33.6757728075,19.2819,19.7713,18.7038,-0.614,0.3202,-0.002,0.32,0.174,0.201,0.392,2018.asa.c11,AS0394,1,23.77,125.23,0.84,0.0,-2.27,0.157,0.0,5.393,m,0
5027157858740343680,15.5000553523,-33.8536311051,17.3415,17.9557,16.5884,-0.0076,0.0783,0.032,0.068,-0.118,0.052,0.4194,2006.gb101,scl036_03_,3,58.7,109.24,0.291,0.641,-1.94,0.048,0.067,1.255,m,0
5027173148824320000,15.5008376939,-33.6775627011,19.1796,19.6909,18.6051,0.2353,0.3251,0.857,0.307,-0.087,0.199,0.3976,2003.Scl03a,scl_03_208,2,19.12,114.64,1.108,4.121,-2.32,0.199,0.056,9.556,m,0
5027176687877486976,15.5033403325,-33.6241293106,18.4326,18.9465,17.7394,-0.0615,0.1795,0.116,0.145,-0.019,0.113,0.4248,2018.asa.c11,AS3009,2,70.78,95.1,0.265,0.351,-1.92,0.042,0.063,2.170,m,0
5027176687877485440,15.5067338538,-33.6254289616,18.616,19.1222,17.9605,0.3076,0.1986,0.13,0.159,-0.297,0.123,0.4268,2017.sclout1,AT04032,1,45.01,90.58,0.47,0.0,-2.07,0.071,0.0,2.860,m,0
5027150333957171200,15.5117100815,-33.9606239721,19.4695,19.8778,18.9429,0.4572,0.2672,0.217,0.234,-0.091,0.191,0.5086,2006.gb109,scl133_09_,1,13.61,102.99,1.35,0.0,-1.71,0.23,0.0,3.605,m,0
5027170125167035264,15.5151466482,-33.7904422719,19.4901,19.8602,19.022,-0.0511,0.3132,0.689,0.348,-0.008,0.222,0.4047,2018.asa.c11,AS5028,1,22.4,109.06,0.91,0.0,-1.5,0.135,0.0,5.318,m,0
5027249397380480640,15.5153761903,-33.418878231,16.6837,17.4068,15.8621,0.1193,0.0678,0.108,0.055,-0.189,0.039,0.6183,2006.gb106,scl034_06_,1,71.54,98.25,0.18,0.0,-1.98,0.038,0.0,2.669,m,0
5027157480782793216,15.5174589226,-33.8851399546,18.7221,19.2401,18.0699,0.2362,0.1818,0.201,0.153,-0.201,0.124,0.4515,2006.gb101,scl043_03_,2,20.4,104.54,0.774,1.498,-2.12,0.156,0.127,1.728,m,0
5027170232543255040,15.5224331902,-33.7867608981,17.1575,17.7738,16.4075,0.0685,0.0779,0.118,0.064,-0.146,0.05,0.4097,2018.asa.c11,AS0056,1,106.04,99.05,0.18,0.0,-2.54,0.03,0.0,0.879,m,0
5027156621789316608,15.5228238669,-33.9115576357,19.6067,20.0321,18.9946,-0.2183,0.2955,0.216,0.295,-0.266,0.212,0.4742,2018.asa.c13,AS5172,1,14.91,120.25,1.48,0.0,-1.6,0.208,0.0,1.230,m,0
5027150372614446336,15.5338009403,-33.9640919295,17.1709,17.8267,16.4031,0.0808,0.0668,0.242,0.055,-0.203,0.047,0.5248,2006.gb101,scl058_09_,2,76.61,111.97,0.177,0.471,-1.95,0.034,0.018,7.354,m,0
5027157618222163200,15.5352932105,-33.86462873,19.0063,19.5422,18.3663,0.1183,0.2025,0.342,0.192,-0.214,0.143,0.4515,2018.asa.c13,AS0318,1,24.46,100.85,1.08,0.0,-2.11,0.138,0.0,1.738,m,0
5027201980941496832,15.5366861765,-33.4863178493,17.0323,17.7459,16.2191,-0.0883,0.0795,0.107,0.077,-0.14,0.051,0.5614,2018.asa.c11,AS0049,1,112.59,99.03,0.16,0.0,-1.61,0.024,0.0,1.693,m,0
5027176790956731520,15.5425762109,-33.6063123293,17.8982,18.4419,17.1883,0.2758,0.1417,-0.044,0.135,-0.259,0.091,0.4672,2018.asa.c11,AS2088,3,72.56,104.16,0.255,1.118,-2.35,0.039,0.014,8.051,m,0
5027172942665850112,15.5461532184,-33.6928049854,19.194,19.6375,18.5616,-0.207,0.2639,0.268,0.297,-0.288,0.183,0.4312,2018.asa.c11,AS1491,2,38.4,117.88,0.553,0.7,-2.1,0.089,0.055,1.821,m,0
5027200361737304704,15.5600761029,-33.5605169013,19.3397,19.8314,18.7167,-0.193,0.3417,-0.383,0.447,0.063,0.225,0.5131,2018.asa.c11,AS0411,1,22.01,88.46,0.87,0.0,-1.66,0.14,0.0,1.350,m,0
5027200361737301504,15.560175029,-33.5647597819,19.418,19.8589,18.8184,-0.503,0.3563,-0.412,0.468,0.203,0.238,0.5099,2018.asa.c11,AS1570,1,23.0,111.66,1.13,0.0,-1.99,0.146,0.0,3.079,m,0
5027171710012004480,15.5666919868,-33.7505964045,17.8003,18.3841,17.0928,0.0902,0.1014,0.071,0.09,-0.271,0.07,0.4417,2018.asa.c11,AS2087,3,79.18,127.22,0.208,2.192,-1.57,0.03,0.094,3.655,m,0
5027197235001052160,15.5701113931,-33.6124280129,19.0825,19.4794,18.503,-0.4667,0.2805,-0.354,0.308,0.352,0.192,0.4856,2018.asa.c11,AS1415,1,25.22,103.78,0.76,0.0,-2.35,0.148,0.0,7.642,m,0
5027173565437871104,15.5762808774,-33.6266621776,17.7729,18.3401,17.0803,0.3384,0.1219,0.136,0.104,-0.204,0.076,0.4826,2018.asa.c11,AS2069,3,75.91,107.21,0.235,1.214,-2.25,0.037,0.029,7.275,m,0
